iter	Passed	Remaining
0	204	83787
1	270	55175
2	334	45331
3	392	39848
4	462	37500
5	527	35516
6	589	33937
7	657	33057
8	727	32430
9	795	31800
10	866	31446
11	930	30859
12	958	29281
13	1038	29361
14	1109	29203
15	1193	29386
16	1254	29010
17	1320	28750
18	1380	28407
19	1445	28179
20	1526	28277
21	1604	28297
22	1678	28242
23	1762	28346
24	1838	28307
25	1903	28115
26	1974	28002
27	2036	27785
28	2108	27698
29	2175	27556
30	2237	27358
31	2303	27206
32	2377	27157
33	2437	26960
34	2501	26803
35	2562	26620
36	2602	26239
37	2663	26077
38	2734	26016
39	2808	25978
40	2874	25866
41	2938	25748
42	3008	25674
43	3089	25701
44	3201	25969
45	3270	25882
46	3334	25752
47	3400	25646
48	3468	25551
49	3538	25474
50	3580	25204
51	3672	25284
52	3757	25308
53	3830	25256
54	3916	25279
55	4048	25591
56	4127	25558
57	4220	25615
58	4305	25611
59	4394	25636
60	4473	25596
61	4554	25563
62	4627	25486
63	4711	25470
64	4785	25400
65	4861	25336
66	4938	25282
67	5018	25239
68	5104	25227
69	5184	25181
70	5263	25131
71	5339	25063
72	5418	25014
73	5496	24957
74	5581	24931
75	5668	24911
76	5750	24868
77	5836	24840
78	5914	24780
79	5997	24739
80	6073	24667
81	6151	24605
82	6228	24540
83	6309	24487
84	6383	24406
85	6482	24422
86	6735	25007
87	6832	25000
88	6920	24961
89	7009	24923
90	7098	24883
91	7188	24846
92	7274	24796
93	7359	24739
94	7454	24718
95	7540	24662
96	7637	24644
97	7729	24608
98	7846	24649
99	7941	24618
100	8031	24570
101	8123	24529
102	8210	24472
103	8299	24420
104	8429	24484
105	8542	24500
106	8681	24583
107	8787	24571
108	8877	24513
109	8985	24505
110	9098	24509
111	9208	24500
112	9362	24608
113	9451	24539
114	9562	24528
115	9728	24656
116	9812	24572
117	9885	24462
118	9970	24381
119	10050	24288
120	10138	24214
121	10216	24118
122	10345	24138
123	10423	24040
124	10509	23961
125	10595	23882
126	10683	23806
127	10763	23713
128	10856	23648
129	10935	23554
130	11026	23483
131	11106	23390
132	11193	23313
133	11269	23212
134	11354	23129
135	11437	23043
136	11521	22959
137	11600	22864
138	11696	22803
139	11774	22707
140	11858	22624
141	11936	22528
142	12015	22435
143	12098	22349
144	12175	22250
145	12255	22160
146	12334	22067
147	12419	21986
148	12499	21895
149	12593	21828
150	12706	21794
151	12810	21744
152	12912	21689
153	13015	21636
154	13103	21556
155	13198	21490
156	13277	21396
157	13358	21305
158	13436	21210
159	13511	21112
160	13593	21022
161	13701	20975
162	13780	20882
163	13859	20789
164	14032	20835
165	14180	20843
166	14358	20892
167	14456	20824
168	14536	20729
169	14620	20640
170	14701	20547
171	14776	20445
172	14852	20347
173	14928	20247
174	15014	20162
175	15091	20064
176	15180	19983
177	15266	19897
178	15350	19810
179	15441	19730
180	15526	19644
181	15606	19551
182	15700	19475
183	15781	19383
184	15864	19294
185	15939	19195
186	16023	19107
187	16115	19029
188	16200	18943
189	16283	18854
